Layer,Name,GEOID,HBS_2019-2023,HBU_2019-2023,HUO_2019-2023,MHC_2019-2023,RBS_2019-2023,RBU_2019-2023,REX_2019-2023,RNT_2019-2023,SLA-S_2019-2023,TRV_2019-2023,VAL_2019-2023,FAI_2020,INC_2019-2023
Zip code,53014,53014,6.765820939,15.77719452,81.18985127,807,17.98449612,22.01550388,0.143987113,744,33.46666667,22.7,201700,9.7,77464
Zip code,53020,53020,6.591957811,16.94133158,86.81608438,1206,11.5,34.5,0.076763994,1108,19.58525346,21.2,322700,8.4,90536
Zip code,53042,53042,5.880269217,17.67623096,82.35919235,1038,14.0562249,33.93574297,0.139947832,824,24.7235387,20.7,223100,9.6,86118
Zip code,53049,53049,4.90605428,18.68475992,85.90814196,1214,12.59259259,12.59259259,0.188464816,489,12.0754717,26.4,270900,6.25,84449
Zip code,53061,53061,4.906006419,20.90784044,77.67079321,927,16.0164271,32.64887064,0.166031697,750,36.28899836,29.4,182100,9.3,66382
Zip code,53088,53088,15.07936508,21.42857143,69.84126984,1037,42.10526316,47.36842105,0.036186795,713,47.36842105,20.7,163300,0,58000
Zip code,54106,54106,6.038991916,23.39514979,88.0171184,929,14.28571429,48.80952381,0.202290146,764,30.92485549,30.7,254500,8.4,88606
Zip code,54107,54107,7.358351729,21.19205298,79.91169978,1021,5.860805861,25.27472527,0.09034676,716,18.63013699,23.2,195800,9.8,76394
Zip code,54110,54110,5.903723887,18.61943688,81.74386921,957,22.63681592,28.85572139,0.062320664,801,24.31668238,23.3,218300,8.2,85682
Zip code,54113,54113,1.156462585,14.48979592,87.14285714,1042,0,28.57142857,0.226548409,1081,17.36292428,19.1,235800,9.2,89310
Zip code,54115,54115,7.90128472,19.43837912,66.02853806,1214,12.22720478,29.80568012,0.282685644,1071,25.58739995,18.8,307800,9.45,92023
Zip code,54123,54123,5.681818182,10.22727273,85.22727273,700,0,0,0.220679318,,27.27272727,23.1,,0,67500
Zip code,54129,54129,17.36111111,30.625,87.08333333,1159,19.89247312,48.92473118,0.205512986,1027,13.89578164,27.7,240800,7.1,75662
Zip code,54130,54130,7.405741024,19.35570953,77.72878611,1117,12.52525253,32.44444444,0.154656205,969,33.89504092,20.9,242300,9.633333333,86364
Zip code,54136,54136,10.29755934,21.06318957,58.77632899,998,16.46390916,26.84509327,0.228087056,1038,46.32721202,19.7,193000,11.9,66472
Zip code,54140,54140,6.807037785,18.86357081,64.78223248,1035,16.21621622,29.4021294,0.192796678,1009,32.75563258,18.8,204000,10.4,72049
Zip code,54152,54152,0,28.84615385,42.30769231,838,0,35,0.432970364,925,36.66666667,30.5,146900,,61500
Zip code,54155,54155,4.379297865,18.45819761,64.27795874,1346,7.598784195,31.81357649,0.487085686,1255,17.46724891,21.1,344900,12.2,98573
Zip code,54160,54160,2.564102564,9.401709402,87.17948718,872,0,6.666666667,0.182306015,810,27.02702703,19,169000,0,64583
Zip code,54165,54165,8.850457782,20.68497796,77.72126144,1024,17.80821918,27.24505327,0.223357607,937,22.5,23.5,232200,9.3,88135
Zip code,54169,54169,3.906899418,15.96009975,97.09060682,1434,0,60,0.10048379,1208,14.25531915,27,336800,5.9,114943
Zip code,54170,54170,7.385620915,19.34640523,86.33986928,913,9.090909091,19.61722488,0.070178839,832,29.57957958,31,221200,7.933333333,76705
Zip code,54180,54180,3.412698413,27.14285714,80.55555556,1526,2.857142857,18.7755102,0.213541718,1272,56.52173913,21.5,275200,7.2,101731
Zip code,54313,54313,5.852481909,15.6023867,83.15348483,1303,16.50339111,39.33685004,0.22435915,1088,20.13755158,19.7,294300,7.45,108410
Zip code,54901,54901,11.2735917,25.1332661,50.42501081,959,17.50944493,37.19848881,0.343957004,932,35.15138501,18.2,164000,14,61734
Zip code,54902,54902,11.34298552,26.0908637,60.24962556,943,21.27606129,44.26023612,0.29217274,859,40.06324495,16.4,163900,13.2,64548
Zip code,54904,54904,7.299118714,20.61171591,79.98963193,1003,11.86528497,40.15544041,0.131240146,915,22.59596359,18.8,258900,8.6,95813
Zip code,54911,54911,9.76424549,28.14737043,59.54948936,1067,17.24870222,46.2482303,0.32149038,1010,42.61143411,17.5,199100,13.2,66747
Zip code,54913,54913,4.568683565,17.56950123,69.93049877,1387,7.104010877,24.40516655,0.217052773,1158,23.64022287,19.7,365400,8,103149
Zip code,54914,54914,7.690032535,19.80183378,62.64418811,1036,14.46951702,32.99683294,0.368284546,936,29.60583435,18.9,210200,10.9,77199
Zip code,54915,54915,7.779143847,19.49815581,72.56063485,1174,11.6089613,32.44399185,0.307842088,974,26.64015905,20.2,247900,10.2,83814
Zip code,54922,54922,7.186858316,19.30184805,84.39425051,896,14.47368421,23.68421053,0.247682531,867,35,31.5,179900,9.7,73371
Zip code,54923,54923,8.956014838,23.39692634,70.2172761,892,16.72597865,41.81494662,0.25349602,815,29.98126171,23.2,180400,12.4,63750
Zip code,54927,54927,5.911330049,10.83743842,83.25123153,1021,35.29411765,52.94117647,0.122235671,1188,0,17.9,235500,0,126012
Zip code,54929,54929,16.92076981,32.41689578,75.25618595,886,38.28282828,53.63636364,0.140442394,875,29.81015906,21.7,157900,13.5,60973
Zip code,54931,54931,0,4.458598726,91.71974522,775,0,53.84615385,0,,9.375,19.7,194200,0,66657
Zip code,54940,54940,8.791208791,19.34065934,87.58241758,1183,8.407079646,24.33628319,0.166802809,980,20.11235955,27.4,286300,8.2,87900
Zip code,54942,54942,3.362391034,13.49937733,88.71731009,1478,7.947019868,41.50110375,0.148511372,1156,24.40087146,20.5,336500,6.4,113633
Zip code,54944,54944,5.173900546,18.76976143,88.44495545,1171,6.467661692,43.28358209,0.101495672,820,23.8354507,23.7,318400,7.6,98675
Zip code,54947,54947,4.211663067,13.28293737,92.00863931,1015,0,21.62162162,0.065417473,911,28.64197531,21,266700,6.6,96429
Zip code,54952,54952,8.817886043,24.70176024,66.76399433,975,15.38654618,43.52409639,0.330809871,906,37.9749823,20.1,190000,11.25,67280
Zip code,54956,54956,7.23325445,21.71519704,69.31783105,1138,14.88933602,35.68075117,0.238578262,1005,29.26795194,18,238200,10.65,81386
Zip code,54961,54961,9.420783646,21.09028961,69.82964225,990,16.93958216,41.67137211,0.181351837,841,30.53278689,28.1,196600,11.7,71337
Zip code,54963,54963,9.059945504,24.21662125,81.16485014,1051,16.63652803,36.88969259,0.101504439,926,26.14195362,25.5,218700,9.5,76987
Zip code,54964,54964,15.47277937,27.22063037,91.40401146,1101,50,60,0.092396267,942,11.17647059,23.5,233200,6.75,66094
Zip code,54971,54971,7.113513514,22.33513514,70.01081081,937,12.76135544,45.42177361,0.166226271,708,36.6191446,19.5,182800,11.36666667,65914
Zip code,54979,54979,5.732484076,17.51592357,84.39490446,1441,3.06122449,3.06122449,0.067285799,1352,9.792284866,20.8,262300,7.2,104167
Zip code,54980,54980,0,0,94.44444444,487,0,0,0,,83.62068966,32.3,164500,0,
Zip code,54985,54985,,,,,,,0.5695907,,0,,,0,
Zip code,54986,54986,5.823016965,14.1219624,83.49381018,1141,9.166666667,21.66666667,0.079188713,905,19.05813098,23.9,280500,9.1,90479
