layer,geoid,topic,stratification,period,value
Census tract,55015020100,FVDENZPD,,2022-2023,75.08032107
Census tract,55015020200,FVDENZPD,,2022-2023,77.38786421
Census tract,55015020303,FVDENZPD,,2022-2023,71.29951177
Census tract,55015020304,FVDENZPD,,2022-2023,69.65732996
Census tract,55015020306,FVDENZPD,,2022-2023,78.01523968
Census tract,55015020308,FVDENZPD,,2022-2023,80.27314488
Census tract,55015020400,FVDENZPD,,2022-2023,75.32848257
Census tract,55015020500,FVDENZPD,,2022-2023,74.71497885
Census tract,55015020600,FVDENZPD,,2022-2023,70.81560194
Census tract,55015020700,FVDENZPD,,2022-2023,87.68800511
Census tract,55015020800,FVDENZPD,,2022-2023,78.04966549
Census tract,55087010100,FVDENZPD,,2022-2023,43.21906464
Census tract,55087010200,FVDENZPD,,2022-2023,70.62984639
Census tract,55087010300,FVDENZPD,,2022-2023,50.30008818
Census tract,55087010501,FVDENZPD,,2022-2023,76.87606477
Census tract,55087010502,FVDENZPD,,2022-2023,59.41438522
Census tract,55087010601,FVDENZPD,,2022-2023,67.66292625
Census tract,55087010602,FVDENZPD,,2022-2023,79.85885513
Census tract,55087010700,FVDENZPD,,2022-2023,73.59176362
Census tract,55087010800,FVDENZPD,,2022-2023,72.64611569
Census tract,55087010900,FVDENZPD,,2022-2023,78.81732817
Census tract,55087011001,FVDENZPD,,2022-2023,69.48595814
Census tract,55087011002,FVDENZPD,,2022-2023,71.64201714
Census tract,55087011101,FVDENZPD,,2022-2023,72.81094014
Census tract,55087011103,FVDENZPD,,2022-2023,70.66721133
Census tract,55087011104,FVDENZPD,,2022-2023,60.81747467
Census tract,55087011200,FVDENZPD,,2022-2023,75.81068356
Census tract,55087011300,FVDENZPD,,2022-2023,71.60236825
Census tract,55087011400,FVDENZPD,,2022-2023,63.82481497
Census tract,55087011501,FVDENZPD,,2022-2023,76.23619052
Census tract,55087011502,FVDENZPD,,2022-2023,77.47124403
Census tract,55087011600,FVDENZPD,,2022-2023,72.88094024
Census tract,55087011700,FVDENZPD,,2022-2023,69.13182725
Census tract,55087011800,FVDENZPD,,2022-2023,66.82498474
Census tract,55087011901,FVDENZPD,,2022-2023,68.40041929
Census tract,55087011902,FVDENZPD,,2022-2023,72.12614817
Census tract,55087012000,FVDENZPD,,2022-2023,79.02133627
Census tract,55087012101,FVDENZPD,,2022-2023,79.69175044
Census tract,55087012102,FVDENZPD,,2022-2023,69.45019168
Census tract,55087012200,FVDENZPD,,2022-2023,53.72752376
Census tract,55087012300,FVDENZPD,,2022-2023,78.32835209
Census tract,55087012400,FVDENZPD,,2022-2023,76.95095427
Census tract,55087012503,FVDENZPD,,2022-2023,91.29829831
Census tract,55087012504,FVDENZPD,,2022-2023,74.76943113
Census tract,55087012505,FVDENZPD,,2022-2023,77.39471385
Census tract,55087012506,FVDENZPD,,2022-2023,66.49994456
Census tract,55087012602,FVDENZPD,,2022-2023,81.98148148
Census tract,55087012603,FVDENZPD,,2022-2023,82.95641613
Census tract,55087012604,FVDENZPD,,2022-2023,80.38095044
Census tract,55087012700,FVDENZPD,,2022-2023,72.61913179
Census tract,55087012800,FVDENZPD,,2022-2023,76.54232804
Census tract,55087012902,FVDENZPD,,2022-2023,80.88166425
Census tract,55087012903,FVDENZPD,,2022-2023,81.89512745
Census tract,55087012904,FVDENZPD,,2022-2023,82.01852604
Census tract,55087013100,FVDENZPD,,2022-2023,74.01464665
Census tract,55087013200,FVDENZPD,,2022-2023,73.69952709
Census tract,55087013300,FVDENZPD,,2022-2023,70.369837
Census tract,55087940000,FVDENZPD,,2022-2023,85.07432797
Census tract,55139000100,FVDENZPD,,2022-2023,63.28130717
Census tract,55139000200,FVDENZPD,,2022-2023,56.58684081
Census tract,55139000300,FVDENZPD,,2022-2023,72.32469495
Census tract,55139000400,FVDENZPD,,2022-2023,54.88938852
Census tract,55139000501,FVDENZPD,,2022-2023,NA
Census tract,55139000502,FVDENZPD,,2022-2023,75.00977932
Census tract,55139000700,FVDENZPD,,2022-2023,NA
Census tract,55139000800,FVDENZPD,,2022-2023,62.0861982
Census tract,55139000900,FVDENZPD,,2022-2023,67.1521734
Census tract,55139001000,FVDENZPD,,2022-2023,65.65602497
Census tract,55139001100,FVDENZPD,,2022-2023,65.45384252
Census tract,55139001200,FVDENZPD,,2022-2023,64.77209779
Census tract,55139001300,FVDENZPD,,2022-2023,75.37234031
Census tract,55139001400,FVDENZPD,,2022-2023,67.99283628
Census tract,55139001500,FVDENZPD,,2022-2023,77.10103791
Census tract,55139001600,FVDENZPD,,2022-2023,74.66137217
Census tract,55139001700,FVDENZPD,,2022-2023,78.30589874
Census tract,55139001801,FVDENZPD,,2022-2023,82.8668154
Census tract,55139001803,FVDENZPD,,2022-2023,70.71155079
Census tract,55139001804,FVDENZPD,,2022-2023,85.48611111
Census tract,55139001900,FVDENZPD,,2022-2023,71.63168797
Census tract,55139002001,FVDENZPD,,2022-2023,69.89298831
Census tract,55139002002,FVDENZPD,,2022-2023,77.22463558
Census tract,55139002100,FVDENZPD,,2022-2023,75.52220784
Census tract,55139002201,FVDENZPD,,2022-2023,74.00220813
Census tract,55139002202,FVDENZPD,,2022-2023,79.77786444
Census tract,55139002300,FVDENZPD,,2022-2023,85.02314815
Census tract,55139002401,FVDENZPD,,2022-2023,67.1306536
Census tract,55139002402,FVDENZPD,,2022-2023,72.7526018
