"Layer","Name","GEOID","ACT","CAR","PUB","NVC","TRV","EKW","Index"
"Census tract","Tract 2","55139000200",0,100,100,0,100,100,66.6666666666667
"Census tract","Tract 103","55087010300",0,100,88.4325546345139,0,100,100,64.7387591057523
"Census tract","Tract 5.01","55139000501",0,100,100,0,100,63.8257575757576,60.6376262626263
"Census tract","Tract 123","55087012300",0,100,62.2873688020268,0,100,100,60.3812281336711
"Census tract","Tract 29","55139002900",0,100,100,0,100,60.9406693711968,60.1567782285328
"Census tract","Tract 101","55087010100",0,100,100,0,100,56.9246810598626,59.4874468433104
"Census tract","Tract 14","55139001400",0,100,100,0,100,53.0458161461402,58.84096935769
"Census tract","Tract 105.02","55087010502",0,100,100,0,100,46.3775874375446,57.7295979062574
"Census tract","Tract 11","55139001100",0,100,65.0173611111111,0,100,68.75,55.6278935185185
"Census tract","Tract 113","55087011300",0,100,86.8647100930565,0,100,44.905869324474,55.2950965695884
"Census tract","Tract 35","55139003500",0,100,49.7063142437592,0,100,69.3810319227914,53.1812243610918
"Census tract","Tract 1","55139000100",0,100,59.538784067086,0,100,56.3638433515483,52.6504379031057
"Census tract","Tract 110.02","55087011002",0,100,55.8091286307054,0,100,59.7938144329897,52.6004905106158
"Census tract","Tract 28","55139002800",0,100,61.4156178102585,0,100,51.854527938343,52.2116909581002
"Census tract","Tract 111.04","55087011104",0,100,83.3333333333333,0,100,29.2691751085383,52.1004180736453
"Census tract","Tract 10","55139001000",0,100,32.9381682938168,0,100,74.8869000786782,51.3041780620825
"Census tract","Tract 124","55087012400",0,100,72.794800371402,0,100,34.8765432098765,51.2785572635464
"Census tract","Tract 18.03","55139001803",0,100,50.7246376811594,0,100,55.6940914866582,51.0697881946363
"Census tract","Tract 114","55087011400",0,100,45.589298626175,0,100,59.8860513055428,50.912558321953
"Census tract","Tract 33","55139003300",0,100,100,0,100,4.46127946127946,50.7435465768799
"Census tract","Tract 7","55139000700",0,100,100,0,100,3.90749601275917,50.6512493354599
"Census tract","Tract 108","55087010800",0,100,96.767537826685,0,100,0,49.4612563044475
"Census tract","Tract 110.01","55087011001",0,100,60.9576427255985,0,100,34.3607305936073,49.2197288865343
"Census tract","Tract 118","55087011800",0,100,75.4149377593361,0,100,15.5236907730673,48.4897714220672
"Census tract","Tract 31","55139003100",0,100,43.2624113475177,0,100,44.8602794411178,48.0204484647726
"Census tract","Tract 122","55087012200",0,100,67.9927667269439,0,100,18.4397163120567,47.7387471731668
"Census tract","Tract 4","55139000400",0,100,54.6686746987952,0,95.85,34.4344344344344,47.4921848555383
"Census tract","Tract 105.01","55087010501",0,100,83.5097001763668,0,100,0,47.2516166960611
"Census tract","Tract 34","55139003400",0,100,64.1044963576991,0,100,19.0451021846371,47.191599757056
"Census tract","Tract 3","55139000300",0,100,46.5255157437568,0,100,36.3929146537842,47.1530717329235
"Census tract","Tract 15","55139001500",0,100,77.5280898876404,0,100,0,46.2546816479401
"Census tract","Tract 203.03","55015020303",0,100,60.5169340463458,0,100,16.564039408867,46.1801622425355
"Census tract","Tract 8","55139000800",0,100,67.156862745098,0,100,8.98968588842006,46.024424772253
"Census tract","Tract 13","55139001300",0,100,75.1471375066881,0,100,0,45.8578562511147
"Census tract","Tract 206","55015020600",0,100,51.9467838398633,0,100,20.6568446899939,45.4339380883095
"Census tract","Tract 102","55087010200",0,100,55.7924376508447,0,100,16.2892914224827,45.3469548455546
"Census tract","Tract 107","55087010700",0,100,53.5277041524675,0,100,18.1910569105691,45.2864601771728
"Census tract","Tract 5.02","55139000502",0,100,29.042904290429,0,98.45,42.6132521974307,45.0176927479766
"Census tract","Tract 131","55087013100",0,100,68.8381187609344,0,100,0,44.8063531268224
"Census tract","Tract 127","55087012700",0,100,66.9375062694352,0,100,0,44.4895843782392
"Census tract","Tract 116","55087011600",0,100,0,0,100,66.8206075533662,44.4701012588944
"Census tract","Tract 115.02","55087011502",0,100,65.0087612885834,0,100,0,44.1681268814306
"Census tract","Tract 132","55087013200",0,100,63.1436314363144,0,100,0,43.8572719060524
"Census tract","Tract 201","55015020100",0,100,62.1116474811239,0,100,0,43.6852745801873
"Census tract","Tract 32","55139003200",0,100,60.0260416666667,0,100,0,43.3376736111111
"Census tract","Tract 205","55015020500",0,100,59.106529209622,0,100,0,43.184421534937
"Census tract","Tract 37.01","55139003701",0,100,58.7603147188639,0,100,0,43.1267191198107
"Census tract","Tract 25","55139002500",0,100,41.4089347079038,0,100,17.0726306465899,43.0802608924156
"Census tract","Tract 204","55015020400",0,100,58.4791792395896,0,100,0,43.0798632065983
"Census tract","Tract 12","55139001200",0,100,44.471704285247,0,95.4,17.7107061503417,42.9304017392648
"Census tract","Tract 133","55087013300",0,100,57.4943673662991,0,100,0,42.9157278943832
"Census tract","Tract 129.02","55087012902",0,100,56.5505804311775,0,100,0,42.7584300718629
"Census tract","Tract 125.05","55087012505",0,100,56.1305207646671,0,100,0,42.6884201274445
"Census tract","Tract 129.04","55087012904",0,100,56.1020036429872,0,100,0,42.6836672738312
"Census tract","Tract 119.01","55087011901",0,100,55.1167964404894,0,100,0,42.5194660734149
"Census tract","Tract 23","55139002300",0,100,54.3253270845538,0,100,0,42.3875545140923
"Census tract","Tract 37.04","55139003704",0,100,33.1357048748353,0,100,20.9733671528218,42.3515120046095
"Census tract","Tract 106.01","55087010601",0,100,28.1045751633987,0,100,25.9125840537944,42.3361932028655
"Census tract","Tract 26.01","55139002601",0,100,50.8547008547009,0,100,2.77777777777778,42.2720797720798
"Census tract","Tract 36","55139003600",0,100,53.4136546184739,0,100,0,42.235609103079
"Census tract","Tract 20.01","55139002001",0,100,53.2723434201267,0,100,0,42.2120572366878
"Census tract","Tract 125.06","55087012506",0,100,51.5772128060264,0,100,0,41.9295354676711
"Census tract","Tract 121.01","55087012101",0,100,44.6969696969697,0,100,6.54574132492113,41.8737851703151
"Census tract","Tract 202","55015020200",0,100,49.9022482893451,0,100,0.792188651436994,41.782406156797
"Census tract","Tract 115.01","55087011501",0,100,50.1727115716753,0,100,0,41.6954519286125
"Census tract","Tract 26.02","55139002602",0,100,2.20070422535211,0,100,43.3317624882187,40.9220777855951
"Census tract","Tract 30","55139003000",0,100,45.0757575757576,0,100,0,40.8459595959596
"Census tract","Tract 117","55087011700",0,100,43.7405241498809,0,100,0,40.6234206916468
"Census tract","Tract 21","55139002100",0,100,41.834451901566,0,100,0,40.3057419835943
"Census tract","Tract 20.02","55139002002",0,100,38.780775468082,0,100,2.6268115942029,40.2345978437141
"Census tract","Tract 27","55139002700",0,100,29.1845493562232,0,100,12.0086778968862,40.1988712088516
"Census tract","Tract 126.03","55087012603",0,100,40.9821334179089,0,100,0,40.1636889029848
"Census tract","Tract 22.01","55139002201",0,100,40.8572137451929,0,100,0,40.1428689575322
"Census tract","Tract 109","55087010900",0,100,39.2298435619735,0,100,0,39.8716405936623
"Census tract","Tract 24.01","55139002401",0,100,38.6042926597889,0,100,0,39.7673821099648
"Census tract","Tract 119.02","55087011902",0,100,38.1621372639337,0,100,0,39.6936895439889
