Layer,Name,GEOID,Population,Longitude,Latitude,ACT_2019-2023,CAR_2019-2023,EKW_2024,NVC_2019-2023,PUB_2019-2023,TRV_2019-2023
,,,,,,"Active transportation to work (% of workers 16 years and older), 2019-2023","Drive alone to work (% of workers 16 years and older), 2019-2023","Walkability Index, 2024","No vehicle available (% of households), 2019-2023","Public transportation to work (% of workers 16 years and older), 2019-2023","Mean travel time to work (minutes), 2019-2023"
Census tract,Tract 201,55015020100,4912,-88.09912330,44.20433540,3.4533976977348684,85.40660972892685,4.88,2.3960880195599024,0.0,22.6
Census tract,Tract 202,55015020200,3840,-88.12839760,44.10239580,1.994134897360704,80.41055718475073,5.9,3.0950626381724393,0.0586510263929618,23.5
Census tract,Tract 203.03,55015020303,3762,-88.39347720,44.23858210,3.2620320855614975,84.11764705882354,7.0,4.987684729064039,3.048128342245989,26.0
Census tract,Tract 203.04,55015020304,3591,-88.37230450,44.23962290,0.0,81.99076449461262,8.33,7.387862796833773,0.0,22.4
Census tract,Tract 203.06,55015020306,7047,-88.32362950,44.19062860,0.4330106979113602,79.13907284768213,6.33,2.9510646245797534,0.0,25.1
Census tract,Tract 203.08,55015020308,4943,-88.36546090,44.20598410,0.0,81.42135642135642,6.75,0.5104645227156712,0.0,19.2
Census tract,Tract 204,55015020400,3459,-88.30400570,44.01836110,3.017501508750754,80.56729028364515,5.62,2.4707412223667102,0.1810500905250452,30.2
Census tract,Tract 205,55015020500,5155,-88.19385270,44.06454130,3.0927835051546393,70.10309278350515,5.36,2.5491949910554563,0.0,19.0
Census tract,Tract 206,55015020600,5076,-88.09252620,43.92796720,2.2336140607835957,83.96191871109484,5.44,5.4788213627992635,0.1464664957890882,29.6
Census tract,Tract 207,55015020700,4448,-88.33521070,44.23235580,0.9934909215484756,74.58033573141488,6.83,0.594059405940594,0.0,19.4
Census tract,Tract 208,55015020800,6209,-88.36943160,44.23090790,1.152405646787669,77.61452031114953,8.5,3.0821917808219177,0.0,18.4
Census tract,Tract 101,55087010100,2814,-88.40622430,44.26474220,16.266025641025642,49.03846153846153,11.4,10.107948969578018,0.0,15.3
Census tract,Tract 102,55087010200,4175,-88.42610930,44.26754810,2.695092518101368,81.73773129525343,9.83,4.954714970697922,0.3620273531777956,19.1
Census tract,Tract 103,55087010300,2467,-88.41102790,44.26871410,7.6865109269027885,69.1785983421251,11.36,27.044025157232703,3.7678975131876418,17.5
Census tract,Tract 105.01,55087010501,2505,-88.38598770,44.26946240,6.701940035273369,75.30864197530865,9.71,2.292576419213974,0.5291005291005291,15.4
Census tract,Tract 105.02,55087010502,1943,-88.39398760,44.26137370,34.656652360515025,44.098712446351925,9.67,8.565310492505352,0.0,11.8
Census tract,Tract 106.01,55087010601,3623,-88.36783860,44.26581690,0.6862745098039216,72.05882352941177,7.99,6.109510086455332,0.6862745098039216,19.0
Census tract,Tract 106.02,55087010602,4081,-88.36588270,44.25226070,0.0504032258064516,79.93951612903226,7.47,2.2435897435897436,0.0,21.5
Census tract,Tract 107,55087010700,4713,-88.38839430,44.25199430,2.4233244982961,75.27451722832261,7.54,5.182926829268292,0.7194244604316548,21.4
Census tract,Tract 108,55087010800,1446,-88.40939840,44.25046650,9.353507565337004,61.62310866574966,7.54,1.453104359313078,0.8253094910591471,18.9
Census tract,Tract 109,55087010900,2240,-88.43309730,44.24996280,1.3537906137184117,77.25631768953069,8.32,2.4096385542168677,0.8122743682310468,20.2
Census tract,Tract 110.01,55087011001,2744,-88.45452010,44.25449210,3.314917127071823,65.19337016574586,8.49,7.123287671232877,0.7734806629834254,17.0
Census tract,Tract 110.02,55087011002,2763,-88.42986000,44.25550250,2.6970954356846475,80.08298755186722,9.64,10.56701030927835,1.3831258644536653,24.3
Census tract,Tract 111.01,55087011101,4921,-88.42586780,44.28971060,0.0367917586460632,86.42384105960265,9.0,4.07258064516129,0.0,18.3
Census tract,Tract 111.03,55087011103,3524,-88.44828190,44.29155730,0.6902502157031924,84.64193270060397,7.33,1.06951871657754,0.6902502157031924,19.4
Census tract,Tract 111.04,55087011104,3859,-88.45229770,44.27394700,6.666666666666667,79.06336088154269,7.33,6.512301013024602,5.289256198347108,16.8
Census tract,Tract 112,55087011200,2987,-88.42591430,44.27677160,1.2137559002022926,81.5913688469319,9.44,1.9534883720930232,0.1348617666891436,20.1
Census tract,Tract 113,55087011300,3129,-88.40581280,44.27666550,7.37294201861131,67.57337151037939,8.92,8.388704318936876,1.288475304223336,22.8
Census tract,Tract 114,55087011400,5454,-88.40561570,44.28947790,1.735357917570499,69.63123644251627,9.08,10.581768208886851,0.0,17.8
Census tract,Tract 115.01,55087011501,3348,-88.38647330,44.27906130,2.0207253886010363,74.66321243523316,8.6,1.2987012987012987,0.2072538860103626,19.4
Census tract,Tract 115.02,55087011502,4565,-88.36183020,44.28697090,3.801051354630004,73.35220380105135,7.64,2.848101265822785,0.0,16.2
Census tract,Tract 116,55087011600,7390,-88.34192470,44.25919050,0.0,82.92600135777325,8.6,11.691297208538588,0.0,19.2
Census tract,Tract 117,55087011700,2696,-88.33130470,44.27317730,1.6244314489928524,85.05523066926575,8.13,0.9298393913778528,0.0,20.5
Census tract,Tract 118,55087011800,1945,-88.31508450,44.27914620,5.08298755186722,76.55601659751036,9.16,4.86284289276808,0.7261410788381742,19.0
Census tract,Tract 119.01,55087011901,3138,-88.32303320,44.29168830,2.614015572858732,77.41935483870968,7.73,0.8025682182985553,0.0,18.4
Census tract,Tract 119.02,55087011902,4614,-88.29795630,44.28575300,1.2897282358360205,89.59005066789499,8.44,1.2067156348373556,0.0,18.8
Census tract,Tract 120,55087012000,6669,-88.30953410,44.26199460,0.0260688216892596,90.563086548488,6.88,3.35807705903146,0.0,19.9
Census tract,Tract 121.01,55087012101,4192,-88.26584320,44.25785570,1.681818181818182,81.86363636363636,6.72,3.785488958990536,0.0,19.4
Census tract,Tract 121.02,55087012102,4239,-88.28298750,44.26620850,0.8396641343462616,86.92522990803678,7.87,2.2071307300509337,0.2399040383846461,23.9
Census tract,Tract 122,55087012200,1965,-88.27472210,44.27692410,4.159132007233273,82.91139240506328,11.42,5.212765957446808,1.9891500904159132,21.1
Census tract,Tract 123,55087012300,1616,-88.26031170,44.28412930,3.474484256243214,82.30184581976113,7.0,16.329113924050635,0.9771986970684038,19.9
Census tract,Tract 124,55087012400,3091,-88.26774050,44.29387970,4.735376044568245,74.76323119777159,7.0,7.185185185185185,0.5571030640668524,17.5
Census tract,Tract 125.03,55087012503,3836,-88.40509270,44.31379350,0.0,81.0014038371549,7.83,1.8436578171091444,0.0,16.2
Census tract,Tract 125.04,55087012504,4094,-88.37432890,44.31355660,0.8192771084337349,78.40963855421687,7.08,2.515723270440252,0.0,22.1
Census tract,Tract 125.05,55087012505,5511,-88.45918320,44.30753740,2.7356624917600527,85.33289386947924,8.19,0.0,0.03295978905735,18.5
Census tract,Tract 125.06,55087012506,4464,-88.48103130,44.26574250,2.189265536723164,74.96468926553672,9.42,1.2786596119929452,1.1652542372881356,17.5
Census tract,Tract 126.02,55087012602,5308,-88.64926610,44.28221720,0.7815154604145429,80.53007135575942,4.22,1.4035087719298245,0.0,23.1
Census tract,Tract 126.03,55087012603,5489,-88.52523320,44.31920430,1.4589280050745324,80.52648271487473,5.88,0.4081632653061224,0.0,17.7
Census tract,Tract 126.04,55087012604,4759,-88.52087420,44.25833280,0.0,77.15086034413766,5.88,0.0,0.0,20.2
Census tract,Tract 127,55087012700,6648,-88.67557930,44.39250280,4.03250075233223,81.94402648209449,4.19,2.1004942339373973,0.0,25.8
Census tract,Tract 128,55087012800,7874,-88.50699990,44.43151460,0.8186236889229983,86.44154515221284,3.93,0.9415584415584416,0.0,27.4
Census tract,Tract 129.02,55087012902,3764,-88.44001470,44.36656760,2.7860696517412937,76.91542288557214,3.67,2.218225419664269,0.0,27.5
Census tract,Tract 129.03,55087012903,3455,-88.28241010,44.38509060,0.8561643835616438,78.71004566210046,5.61,3.4141958670260557,0.0,19.9
Census tract,Tract 129.04,55087012904,3077,-88.32824310,44.36461280,2.73224043715847,76.66666666666667,6.35,1.0815307820299502,0.0,22.2
Census tract,Tract 131,55087013100,5937,-88.32202130,44.51662520,4.260574251312133,77.9870330348873,7.21,1.334519572953737,0.1852423587527014,23.2
Census tract,Tract 132,55087013200,3807,-88.57693030,44.53609570,3.577235772357724,77.72357723577235,4.19,1.325381047051027,0.0,31.7
Census tract,Tract 133,55087013300,9247,-88.24638730,44.32135040,2.8993240839558876,78.90430451796514,8.0,2.0,0.1245108502312344,21.3
