"Layer","Name","GEOID","EDA","EDB","EDC","EDE","EDG","Index"
"Census tract","Tract 31","55139003100",96.133023975251,85.3054911059552,81.7478731631864,77.4555297757154,100,88.1283836040216
"Census tract","Tract 208","55015020800",91.5804666827039,93.1440942987732,79.3360596584075,77.0146740437816,79.9196787148594,84.1989946797051
"Census tract","Tract 36","55139003600",85.7651245551601,90.391459074733,81.5302491103203,78.6476868327402,82.2954822954823,83.7260003736872
"Census tract","Tract 126.03","55087012603",100,96.8817787418655,78.2809110629067,57.1331732259064,78.2608695652174,82.1113465191792
"Census tract","Tract 125.04","55087012504",91.6263490882024,93.6732415333086,83.5876442128768,73.903450475836,61.7788461538461,80.913906292814
"Census tract","Tract 105.02","55087010502",100,100,77.2504091653028,79.7872340425532,29.9019607843137,77.3879207984339
"Census tract","Tract 18.01","55139001801",100,92.0374115267948,68.9437984496124,75.1516683518706,35.2941176470588,74.2853991950673
"Census tract","Tract 125.03","55087012503",95.0337703615421,94.2391736193882,88.75645609853,88.2399682161303,0,73.2538736591181
"Census tract","Tract 126.04","55087012604",91.9871794871796,85.7226107226108,73.1182012432013,69.9529637029637,42.8453403833444,72.7252591078599
"Census tract","Tract 129.03","55087012903",100,91.8109499298081,50.2622445796288,34.2565512400561,85.6209150326797,72.3901321564346
"Census tract","Tract 129.04","55087012904",77.6310183212608,93.3958244567532,51.3661056668087,49.2064337452066,89.5330112721417,72.2264786924342
"Census tract","Tract 203.06","55015020306",86.9188971624069,94.0631917890924,73.4172704098746,61.8290544231377,42.477671696951,71.7412170962925
"Census tract","Tract 103","55087010300",87.8861296184134,80.3149606299212,58.6904401372905,30.3755299818292,100,71.4534120734909
"Census tract","Tract 109","55087010900",54.930332261522,79.4212218649518,75.7556270096463,61.2769866789159,83.2285115303983,70.9225358690869
"Census tract","Tract 18.03","55139001803",93.3875890132249,82.909460834181,68.1226687012547,62.5926464176719,45.5527994330262,70.5130328798717
"Census tract","Tract 125.05","55087012505",90.4725609756099,91.9969512195122,76.0670731707317,65.2910859465738,27.1008403361345,70.1857023297124
"Census tract","Tract 22.01","55139002201",89.9193548387096,88.5752688172043,60.4390681003584,45.1192876344086,65.831611570248,69.9769181921858
