Layer,Name,GEOID,APR_2023,EJV_2024,EKW_2024,EVR_2018,HBS_2019-2023,HBU_2019-2023,HCP_2023,HUO_2019-2023,MHC_2019-2023,PGS_2024,RBS_2019-2023,RBU_2019-2023,REX_2019-2023,RFM_2025.02,RNT_2019-2023,SLA-S_2019-2023,TRV_2019-2023,VAL_2019-2023
,,,"Mortgage approval rate (% of mortgages), 2023","Vulnerable Demographic Index (percentile), 2024","Walkability Index, 2024","Eviction rate (% of renter-occupied households), 2018","Severe housing cost burden (% of occupied housing units), 2019-2023","Housing cost burden (% of occupied housing units), 2019-2023","Prevalence of Housing Choice Vouchers (% of renter-occupied units), 2023","Owner occupied (% of occupied housing units), 2019-2023","Median monthly housing costs, 2019-2023","Grocery stores (stores), 2024","Severely rent-burdened (% of renter-occupied housing units), 2019-2023","Rent-burdened (% of renter-occupied housing units), 2019-2023","Race-Ethnicity Diversity Index, 2019-2023","Median home sale price, Feb 2025","Median gross rent, 2019-2023","Seniors living alone, 65 and older (% of seniors), 2019-2023","Mean travel time to work (minutes), 2019-2023","Median home value, 2019-2023"
Zip code,53014,53014,72.27621842498202,16.057971014229825,5.4504917627764495,0.5926267270926928,6.765820939049286,15.777194517351996,,81.18985126859143,807.0,,17.984496124031008,22.015503875968992,0.143987113015948,212450.0,744.0,33.46666666666667,22.7,201699.99999999997
Zip code,53020,53020,72.5021157434528,5.686240640811465,4.3783419682548,0.10341818085544528,6.591957811470007,16.941331575477918,,86.81608437706,1206.0,,11.5,34.5,0.0767639941320406,310000.0,1108.0,19.5852534562212,21.2,322699.99999999994
Zip code,53042,53042,74.26222310212631,15.625471971520318,5.76658437393928,0.46324284204569083,5.880269217144881,17.67623095997166,,82.35919234856536,1038.0,1.0,14.056224899598394,33.93574297188755,0.139947832411774,313200.0,823.9999999999999,24.72353870458136,20.7,223100.0
Zip code,53049,53049,76.66823736236346,5.615536277115236,4.677886435704729,1.2262949744323786,4.906054279749479,18.684759916492695,,85.90814196242171,1214.0,,12.592592592592592,12.592592592592592,0.1884648158928354,247000.0,489.0,12.075471698113208,26.4,270900.0
Zip code,53061,53061,69.07232255480211,14.694164202473386,5.402358062034271,0.5761783152945684,4.90600641907382,20.907840440165064,,77.67079321412196,927.0,1.0,16.01642710472279,32.648870636550306,0.1660316973183861,221500.0,750.0,36.28899835796388,29.4,182099.99999999997
Zip code,53088,53088,77.11864406779661,5.000000000000001,5.62,0.62,15.07936507936508,21.428571428571427,,69.84126984126983,1037.0,,42.10526315789473,47.368421052631575,0.0361867952175667,,712.9999999999999,47.368421052631575,20.7,163300.0
Zip code,54106,54106,77.9287082303235,10.566110395371753,3.928831835571075,0.520998852536801,6.038991916310033,23.39514978601997,,88.01711840228246,928.9999999999999,1.0,14.285714285714285,48.80952380952381,0.2022901461066677,270000.0,764.0,30.92485549132948,30.7,254499.99999999997
Zip code,54107,54107,73.65138169327696,20.225955019915695,5.095835815749779,0.2072400226422568,7.358351729212656,21.192052980132452,,79.91169977924945,1020.9999999999999,,5.86080586080586,25.274725274725274,0.0903467601915322,232000.0,716.0,18.63013698630137,23.2,195800.0
Zip code,54110,54110,67.41229127823678,16.993143272164552,4.87488632288276,0.7966117912958067,5.903723887375113,18.619436875567665,,81.74386920980926,956.9999999999999,1.0,22.63681592039801,28.855721393034827,0.062320663802362,264950.0,801.0,24.31668237511781,23.3,218299.99999999997
