layer,geoid,topic,stratification,period,value
Census tract,55139003100,FVDEOSXA,,2022-2023,88.128
Census tract,55015020800,FVDEOSXA,,2022-2023,84.199
Census tract,55139003600,FVDEOSXA,,2022-2023,83.726
Census tract,55087012603,FVDEOSXA,,2022-2023,82.111
Census tract,55087012504,FVDEOSXA,,2022-2023,80.914
Census tract,55087010502,FVDEOSXA,,2022-2023,77.388
Census tract,55139001801,FVDEOSXA,,2022-2023,74.285
Census tract,55087012503,FVDEOSXA,,2022-2023,73.254
Census tract,55087012604,FVDEOSXA,,2022-2023,72.725
Census tract,55087012903,FVDEOSXA,,2022-2023,72.390
Census tract,55087012904,FVDEOSXA,,2022-2023,72.226
Census tract,55015020306,FVDEOSXA,,2022-2023,71.741
Census tract,55087010300,FVDEOSXA,,2022-2023,71.453
Census tract,55087010900,FVDEOSXA,,2022-2023,70.923
Census tract,55139001803,FVDEOSXA,,2022-2023,70.513
Census tract,55087012505,FVDEOSXA,,2022-2023,70.186
Census tract,55139002201,FVDEOSXA,,2022-2023,69.977
Census tract,55139002300,FVDEOSXA,,2022-2023,69.424
Census tract,55139003703,FVDEOSXA,,2022-2023,69.108
Census tract,55087011104,FVDEOSXA,,2022-2023,67.759
Census tract,55139001900,FVDEOSXA,,2022-2023,67.724
Census tract,55139002402,FVDEOSXA,,2022-2023,66.606
Census tract,55087012000,FVDEOSXA,,2022-2023,66.320
Census tract,55139003200,FVDEOSXA,,2022-2023,65.864
Census tract,55087011300,FVDEOSXA,,2022-2023,64.999
Census tract,55087010100,FVDEOSXA,,2022-2023,64.827
Census tract,55087012506,FVDEOSXA,,2022-2023,64.513
Census tract,55087011600,FVDEOSXA,,2022-2023,64.461
Census tract,55015020700,FVDEOSXA,,2022-2023,64.427
Census tract,55087011103,FVDEOSXA,,2022-2023,63.036
Census tract,55015020308,FVDEOSXA,,2022-2023,62.546
Census tract,55087012101,FVDEOSXA,,2022-2023,61.929
Census tract,55087012602,FVDEOSXA,,2022-2023,61.861
Census tract,55139003704,FVDEOSXA,,2022-2023,61.420
Census tract,55087013300,FVDEOSXA,,2022-2023,61.412
Census tract,55087011501,FVDEOSXA,,2022-2023,61.012
Census tract,55015020600,FVDEOSXA,,2022-2023,59.356
Census tract,55139001804,FVDEOSXA,,2022-2023,59.205
Census tract,55087010700,FVDEOSXA,,2022-2023,58.620
Census tract,55139002202,FVDEOSXA,,2022-2023,58.559
Census tract,55139002500,FVDEOSXA,,2022-2023,58.461
Census tract,55087011101,FVDEOSXA,,2022-2023,58.331
Census tract,55139001000,FVDEOSXA,,2022-2023,57.780
