Layer,Name,GEOID,APR_2024,EJV_2024,EKW_2024,EVR_2018,HBS_2019-2023,HBU_2019-2023,HCP_2024,HUO_2019-2023,MHC_2019-2023,RBS_2019-2023,RBU_2019-2023,REX_2019-2023,RNT_2019-2023,SLA-S_2019-2023,TRV_2019-2023,VAL_2019-2023,INC_2019-2023,FAI_2020
Census tract,Tract 201,55015020100,70.56074766,17,4.88,0.71000484,5.623471883,18.72860636,0,80.24449878,966,22.02970297,28.21782178,0.089339829,810,27.1714922,22.6,202000,77440,10.49995251
Census tract,Tract 202,55015020200,66.66666667,25,5.9,0.859985097,10.39056743,23.80250553,0,83.78776713,1032,18.63636364,45.45454545,0.191629092,1043,20.37302726,23.5,215300,75382,8.700152109
Census tract,Tract 203.03,55015020303,79.87012987,21,7,1.21,1.477832512,11.94581281,0,82.82019704,1156,0,13.26164875,0.366881413,1077,19.15708812,26,186100,72714,14.7
Census tract,Tract 203.04,55015020304,77.77777778,45,8.33,0.73,10.15831135,21.37203166,3.6099999,50.59366755,869,16.55540721,33.37783712,0.458630367,766,18.01801802,22.4,218500,64605,11.3
Census tract,Tract 203.06,55015020306,79.32098765,3,6.33,3.3,7.545760179,20.02241315,0,98.13223758,1514,0,42,0.098504182,1174,23.23049002,25.1,300100,102399,7.6
Census tract,Tract 203.08,55015020308,77.09251101,14,6.75,0.78,11.74068402,22.76671771,0,78.91781521,1531,26.15012107,57.62711864,0.326794363,1389,36.14627286,19.2,354400,112473,8.5
Census tract,Tract 204,55015020400,78.37837838,5,5.62,0.619930007,16.18985696,25.03250975,0,89.79193758,1130,20.38216561,21.65605096,0.105003646,721,26.94805195,30.2,285500,77167,9.101983912
Census tract,Tract 205,55015020500,66.47058824,20,5.36,0.540014232,5.322003578,13.10375671,0,76.52057245,733,18.28571429,22.66666667,0.159528029,746,30.90024331,19,178100,75962,13.19934181
Census tract,Tract 206,55015020600,81.7679558,15,5.44,0.470031701,4.926335175,17.58747698,0,77.20994475,920,15.75757576,31.91919192,0.184383112,807,31.96229649,29.6,182300,70069,11.19978005
Census tract,Tract 207,55015020700,75.93984962,4,6.83,,7.590759076,16.43564356,0,96.43564356,1724,0,42.59259259,0.191768184,1397,11.59874608,19.4,340100,142153,5.7
Census tract,Tract 208,55015020800,81.9047619,3,8.5,0.4,7.148972603,16.22431507,0,69.73458904,1361,7.779349364,25.03536068,0.246117689,1263,31.39407245,18.4,261400,108349,9.6
Census tract,Tract 101,55087010100,68.42105263,48,11.4,1.74,20.21589794,43.37585868,9.42000008,40.92247301,1069,21.09634551,51.99335548,0.298676112,889,80.41237113,15.3,196800,38962,18.7
Census tract,Tract 102,55087010200,72.05882353,36,9.83,1.83,7.938199254,18.54022376,3.16000009,72.18966436,976,17.04980843,41.37931034,0.354728315,852,58.16993464,19.1,149700,58156,11.6
Census tract,Tract 103,55087010300,70,51,11.36,1.340003176,10.42228212,41.4195867,0,33.87241689,916,13.45108696,55.29891304,0.342649594,850,80.53892216,17.5,170100,43921,25.39996786
