Layer,Name,GEOID,Population,EDA_2019-2023,EDB_2019-2023,EDC_2019-2023,EDE_2019-2023,EDG-X341_2019-2023
,,,,"9th grade education rate (% of residents), 2019-2023","High school graduation rate (% of residents), 2019-2023","Any higher education rate (% of residents), 2019-2023","College graduation rate (% of residents), 2019-2023","Preschool enrollment, 3-4 years (% of toddlers ages 3-4), 2019-2023"
Census tract,Tract 201,55015020100,4912,98.43705598181302,91.61693662972436,46.66098323387326,18.755328218243815,43.02325581395349
Census tract,Tract 202,55015020200,3840,93.16591189790036,90.6134211609716,53.231782626595304,16.75586661177439,9.615384615384617
Census tract,Tract 203.03,55015020303,3762,96.11581920903954,90.88983050847456,61.54661016949152,26.48305084745763,3.571428571428571
Census tract,Tract 203.04,55015020304,3591,97.1954792800335,90.12138970280452,62.28547509418166,28.63122645458351,18.51851851851852
Census tract,Tract 203.06,55015020306,7047,99.47675588649628,98.81263835781849,74.24028979673979,42.62427047695713,41.8848167539267
Census tract,Tract 203.08,55015020308,4943,99.16498704290238,92.71523178807946,73.45234667434495,41.46271235243306,41.1214953271028
Census tract,Tract 204,55015020400,3459,99.08606245239908,96.991622239147,61.766945925361775,19.04036557501904,27.692307692307693
Census tract,Tract 205,55015020500,5155,98.8826815642458,93.77494014365524,52.80659749933493,17.664272412875764,58.57142857142858
Census tract,Tract 206,55015020600,5076,99.1095520777118,95.65569347004858,55.126821370750136,25.33729087965461,67.64705882352942
Census tract,Tract 207,55015020700,4448,99.01628222523745,97.65943012211667,81.85210312075984,53.154681139755766,10.76923076923077
Census tract,Tract 208,55015020800,6209,99.66321866730816,98.62881885975465,79.3360596584075,54.02934808756314,63.85542168674698
Census tract,Tract 101,55087010100,2814,99.74953036944272,95.17845961177208,60.23794614902943,25.547902316844084,63.04347826086957
Census tract,Tract 102,55087010200,4175,96.23520975259947,92.07601290785227,66.5112943707422,33.23771961276443,49.39759036144578
Census tract,Tract 103,55087010300,2467,99.51544518473654,96.06299212598424,67.17141126589945,23.44033918837069,100.0
Census tract,Tract 105.01,55087010501,2505,94.73333333333332,92.0,73.06666666666666,43.53333333333333,39.784946236559136
Census tract,Tract 105.02,55087010502,1943,100.0,100.0,77.25040916530278,59.57446808510638,33.33333333333333
Census tract,Tract 106.01,55087010601,3623,95.43362831858408,92.67256637168144,57.98230088495575,28.24778761061947,26.5625
Census tract,Tract 106.02,55087010602,4081,96.7910447761194,94.51492537313432,68.47014925373134,33.992537313432834,21.333333333333336
Census tract,Tract 107,55087010700,4713,97.48134328358208,94.74502487562188,67.19527363184079,33.45771144278607,47.82608695652174
Census tract,Tract 108,55087010800,1446,96.15384615384616,90.03496503496503,70.54195804195804,35.31468531468531,0.0
Census tract,Tract 109,55087010900,2240,96.59163987138264,95.88424437299037,75.7556270096463,42.31511254019293,69.81132075471697
Census tract,Tract 110.01,55087011001,2744,91.8918918918919,88.80986249407302,61.64058795637744,31.48411569464201,0.0
Census tract,Tract 110.02,55087011002,2763,92.31974921630092,89.0282131661442,48.79832810867293,26.64576802507837,51.5625
Census tract,Tract 111.01,55087011101,4921,99.42363112391932,95.70605187319885,59.85590778097982,24.236311239193085,48.837209302325576
Census tract,Tract 111.03,55087011103,3524,94.58054936896808,91.4996288047513,71.0467706013363,38.01039346696362,89.0625
Census tract,Tract 111.04,55087011104,3859,98.74164372788046,94.84860401101062,64.01887534408179,29.45340149429807,100.0
Census tract,Tract 112,55087011200,2987,94.80137322216773,91.8097106424718,56.449239823442866,28.641490926924963,7.142857142857142
Census tract,Tract 113,55087011300,3129,99.163179916318,98.1694560669456,77.51046025104603,36.087866108786606,31.63265306122449
Census tract,Tract 114,55087011400,5454,96.64835164835164,92.91208791208793,61.84065934065934,31.208791208791208,63.33333333333333
Census tract,Tract 115.01,55087011501,3348,96.2840627580512,92.89843104872008,65.60693641618496,34.104046242774565,79.04761904761905
Census tract,Tract 115.02,55087011502,4565,96.78822348611575,94.01137504182002,71.46202743392439,40.6825025092004,26.174496644295303
Census tract,Tract 116,55087011600,7390,98.34410339256866,94.74959612277868,62.33844911147012,33.07754442649434,74.74747474747475
Census tract,Tract 117,55087011700,2696,98.70600414078676,93.7888198757764,49.378881987577635,18.064182194616976,13.461538461538462
Census tract,Tract 118,55087011800,1945,99.6265870052278,93.72666168782672,38.237490664675136,14.413741598207618,0.0
Census tract,Tract 119.01,55087011901,3138,97.62826718296223,92.5459825750242,60.45498547918683,23.281703775411422,0.0
Census tract,Tract 119.02,55087011902,4614,98.55267586671155,94.24436216762034,55.09929316728375,24.537192864355436,16.822429906542055
Census tract,Tract 120,55087012000,6669,100.0,97.89012738853503,67.21735668789809,37.93789808917197,33.33333333333333
Census tract,Tract 121.01,55087012101,4192,99.64146023468058,94.85006518904824,58.11603650586702,19.752281616688396,73.77049180327869
Census tract,Tract 121.02,55087012102,4239,97.9317137229153,93.7623112278398,63.46027577150362,26.887721602101117,29.11392405063291
Census tract,Tract 122,55087012200,1965,99.69395562356542,92.73144605967866,53.02218821729151,16.832440703902066,44.91525423728814
Census tract,Tract 123,55087012300,1616,100.0,89.75155279503106,48.83540372670808,24.689440993788818,33.33333333333333
Census tract,Tract 124,55087012400,3091,95.5636034404708,93.61702127659576,60.52512449071978,32.4128564961521,51.44927536231883
Census tract,Tract 125.03,55087012503,3836,99.80135081446168,98.84783472387764,88.75645609853,76.47993643226063,19.88950276243094
Census tract,Tract 125.04,55087012504,4094,99.6650539635281,98.73464830666173,83.58764421287681,49.38593226646818,50.76923076923077
Census tract,Tract 125.05,55087012505,5511,99.6189024390244,98.39939024390245,76.0670731707317,44.5630081300813,31.428571428571427
Census tract,Tract 125.06,55087012506,4464,99.6026114107295,97.53051376667614,70.82032358785126,36.90036900369004,31.32530120481928
Census tract,Tract 126.02,55087012602,5308,99.863238512035,97.97592997811816,64.82494529540482,34.32713347921225,28.662420382165603
Census tract,Tract 126.03,55087012603,5489,100.0,99.3763557483731,78.28091106290672,39.99457700650759,60.86956521739131
Census tract,Tract 126.04,55087012604,4759,99.67948717948718,97.14452214452216,74.0967365967366,47.17365967365967,42.13483146067416
Census tract,Tract 127,55087012700,6648,96.8798406727152,93.02943129010843,55.18920115069705,23.943350298738658,43.925233644859816
Census tract,Tract 128,55087012800,7874,98.0131172839506,94.57947530864196,52.43055555555556,19.251543209876544,47.98206278026906
Census tract,Tract 129.02,55087012902,3764,97.55501222493888,95.98323436954244,52.42752357666783,23.57666783094656,59.09090909090909
Census tract,Tract 129.03,55087012903,3455,100.0,98.36218998596162,63.12587739822181,25.924192793635935,74.11764705882354
Census tract,Tract 129.04,55087012904,3077,99.10524073285043,98.67916489135064,63.65573072006817,35.49211759693225,81.15942028985508
Census tract,Tract 131,55087013100,5937,98.53454291695743,92.99837171435216,59.26959758083276,24.63363572923936,3.361344537815126
Census tract,Tract 132,55087013200,3807,97.85423603403626,90.41805401405846,45.94894561598224,13.836477987421384,30.58823529411765
Census tract,Tract 133,55087013300,9247,99.63699494949496,96.44886363636364,68.29229797979798,38.90467171717171,27.07182320441989
Census tract,Tract 9400,55087940000,4579,96.01832276250882,87.63213530655392,51.72656800563777,16.0676532769556,10.843373493975903
Census tract,Tract 1,55139000100,2895,98.691226369365,95.34658264663112,61.997091614154144,23.84876393601551,0.0
Census tract,Tract 2,55139000200,2612,95.85106382978724,89.30851063829788,48.56382978723404,22.23404255319149,0.0
Census tract,Tract 3,55139000300,4120,97.11427472104656,92.07387456714122,65.48672566371681,39.93843786071566,17.894736842105264
Census tract,Tract 4,55139000400,3047,94.6456692913386,89.92125984251969,51.54855643044619,18.320209973753283,20.43010752688172
Census tract,Tract 5.01,55139000501,2838,100.0,97.58648431214804,64.52131938857603,32.42156074014481,0.0
