Layer,Name,GEOID,Population,Longitude,Latitude,EDA_2019-2023,EDB_2019-2023,EDC_2019-2023,EDE_2019-2023,EDG-X341_2019-2023,FVDEWVAR_2023-2024,FVDEYLCV_2024-2025
,,,,,,"9th grade education rate (% of residents), 2019-2023","High school graduation rate (% of residents), 2019-2023","Any higher education rate (% of residents), 2019-2023","College graduation rate (% of residents), 2019-2023","Preschool enrollment, 3-4 years (% of toddlers ages 3-4), 2019-2023","Public School Suspensions K-12 (Removal Count), 2023-2024","Public School Enrollment K-12 (Student Count), 2024-2025"
Zip code,53014,53014,8073,-88.176312,44.026076,98.88296958,94.5351435,54.9063413,17.76937618,40,10,1048
Zip code,53020,53020,3474,-88.011415,43.861777,98.15512048,96.57379518,60.84337349,30.83584337,45.55555556,,
Zip code,53042,53042,6886,-87.972329,43.956873,95.39541606,91.03861243,53.4792484,19.38880859,28.39506173,,
Zip code,53049,53049,2536,-88.288605,43.886116,97.83475783,96.80911681,61.48148148,24.61538462,40,,
Zip code,53061,53061,5055,-88.120654,43.945427,97.91666667,94.70942982,55.83881579,26.67214912,54.54545455,13,994
Zip code,53088,53088,279,-88.300913,44.070499,96.21621622,92.43243243,50.81081081,16.75675676,60,2,192
Zip code,54106,54106,4674,-88.456588,44.485462,97.81976744,94.30232558,51.74418605,13.6627907,24,2,345
Zip code,54107,54107,3691,-88.455663,44.701043,96.04386996,92.67528398,49.51037995,17.27379553,51.28205128,,
Zip code,54110,54110,5542,-88.075127,44.187689,96.74160141,90.09850972,47.33518565,20.86385451,38.83495146,20,965
Zip code,54113,54113,3631,-88.309516,44.261867,100,97.14285714,58.9010989,31.42857143,36.48648649,3,339
Zip code,54115,54115,48710,-88.09639,44.397967,98.4261796,96.28614916,72.40487062,39.53729072,30.24462565,,
Zip code,54123,54123,248,-88.142645,44.210985,98.10126582,93.03797468,43.67088608,10.75949367,,,
Zip code,54129,54129,3525,-88.194198,44.13158,96.78731192,95.72997153,60.51240342,19.15412769,8.510638298,7,481
Zip code,54130,54130,27473,-88.24431,44.311313,98.81457708,95.11336577,60.68433585,27.39414018,46.10091743,361,4893
Zip code,54136,54136,6703,-88.338535,44.268219,98.91711787,94.54394002,56.49729279,27.80091628,23.8410596,165,3481
Zip code,54140,54140,8396,-88.309229,44.286515,98.92895395,93.69867904,52.23134595,20.0999643,13.33333333,73,1586
Zip code,54152,54152,249,-88.4705281,44.5664661,98.81656805,85.20710059,32.5443787,7.692307692,100,,
Zip code,54155,54155,7853,-88.200548,44.527495,98.80008135,94.32580842,68.90380313,43.38010982,31.76895307,,
Zip code,54160,54160,244,-88.101704,44.118481,99.47089947,96.82539683,53.96825397,11.64021164,66.66666667,,
Zip code,54165,54165,7877,-88.322013,44.51663,98.59560677,93.87828592,58.04825351,23.71263954,9.444444444,112,1427
Zip code,54169,54169,3325,-88.280739,44.176686,99.37135159,98.5181859,79.83834755,47.46295465,39.0625,,
Zip code,54170,54170,3863,-88.57693,44.536096,96.76928924,91.75218548,45.19194223,18.01596351,35.17241379,18,725
Zip code,54180,54180,3268,-88.175795,44.325728,99.04076739,94.72422062,69.59232614,45.56354916,27.16049383,,
